date,home_team,away_team,rank_home,rank_away,home_score,away_score,result,rank_dif,rank_change_home,rank_change_away,home_goals_mean,home_goals_mean_l5,home_goals_suf_mean,home_goals_suf_mean_l5,home_rank_mean,home_rank_mean_l5,home_points_mean,home_points_mean_l5,away_goals_mean,away_goals_mean_l5,away_goals_suf_mean,away_goals_suf_mean_l5,away_rank_mean,away_rank_mean_l5,away_points_mean,away_points_mean_l5,home_game_points_mean,home_game_points_mean_l5,home_game_points_rank_mean,home_game_points_rank_mean_l5,away_game_points_mean,away_game_points_mean_l5,away_game_points_rank_mean,away_game_points_rank_mean_l5,is_friendly_0,is_friendly_1,total_games_away,total_games_home,home_weight_goals,away_weight_goals_suf,home_weight_goals_l5,away_weight_goals_suf_l5,home_weight_points,away_weight_points,away_weight_goals,home_weight_goals_suf,away_weight_goals_l5,home_weight_goals_suf_l5
2020-10-13,Costa Rica,Panama,46.0,81.0,0,1,1,-35.0,0.0,0.0,0.0,0.0,1.0,1.0,81.0,81.0,0.0,0.0,1.0,1.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.06521739130434782,0.06521739130434782,False,True,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-105.0,-35.0,-35.0,-35.0,-35.0
2020-10-13,Bolivia,Argentina,75.0,9.0,1,2,1,66.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.046875,0.046875,True,False,0,0,0.0,0.0,0.0,0.0,0.0,198.0,66.0,330.0,66.0,330.0
2020-10-13,Ecuador,Uruguay,64.0,6.0,4,2,0,58.0,1.0,1.0,0.0,0.0,1.0,1.0,9.0,9.0,0.0,0.0,2.0,2.0,1.0,1.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.17647058823529413,0.17647058823529413,True,False,0,0,0.0,58.0,0.0,58.0,0.0,174.0,116.0,58.0,116.0,58.0
2020-10-13,Venezuela,Paraguay,25.0,40.0,0,1,1,-15.0,0.0,-1.0,0.0,0.0,3.0,3.0,10.0,10.0,0.0,0.0,2.0,2.0,2.0,2.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.045454545454545456,0.045454545454545456,True,False,0,0,-0.0,-30.0,-0.0,-30.0,-0.0,-15.0,-30.0,-45.0,-30.0,-45.0
2020-10-13,Peru,Brazil,22.0,3.0,2,4,1,19.0,1.0,0.0,2.0,2.0,2.0,2.0,40.0,40.0,0.0,0.0,5.0,5.0,0.0,0.0,75.0,75.0,0.0,0.0,1.0,1.0,0.025,0.025,3.0,3.0,0.04,0.04,True,False,0,0,38.0,0.0,38.0,0.0,19.0,57.0,95.0,38.0,95.0,38.0
2020-10-13,Chile,Colombia,17.0,10.0,2,2,2,7.0,0.0,0.0,1.0,1.0,2.0,2.0,6.0,6.0,0.0,0.0,3.0,3.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.12,0.12,True,False,0,0,7.0,0.0,7.0,0.0,0.0,21.0,21.0,14.0,21.0,14.0
2020-11-12,Bolivia,Ecuador,79.0,60.0,2,3,1,19.0,4.0,-4.0,0.5,0.5,3.5,3.5,6.0,6.0,0.0,0.0,2.0,2.0,1.5,1.5,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.25,0.25,True,False,1,1,9.5,28.5,9.5,28.5,0.0,28.5,38.0,66.5,38.0,66.5
2020-11-12,Argentina,Paraguay,8.0,35.0,1,1,2,-27.0,-1.0,-5.0,1.5,1.5,0.5,0.5,69.5,69.5,0.0,0.0,1.5,1.5,1.0,1.0,23.5,23.5,0.0,0.0,3.0,3.0,0.043437500000000004,0.043437500000000004,2.0,2.0,0.08272727272727273,0.08272727272727273,True,False,1,1,-40.5,-27.0,-40.5,-27.0,-81.0,-54.0,-40.5,-13.5,-40.5,-13.5
2020-11-13,Colombia,Uruguay,10.0,7.0,0,3,1,3.0,0.0,1.0,2.5,2.5,1.0,1.0,21.0,21.0,0.0,0.0,2.0,2.0,2.5,2.5,40.5,40.5,0.0,0.0,2.0,2.0,0.08941176470588236,0.08941176470588236,1.5,1.5,0.08823529411764706,0.08823529411764706,True,False,1,1,7.5,7.5,7.5,7.5,6.0,4.5,6.0,3.0,6.0,3.0
2020-11-13,Chile,Peru,17.0,24.0,2,0,0,-7.0,0.0,2.0,1.5,1.5,2.0,2.0,8.0,8.0,0.0,0.0,2.0,2.0,3.0,3.0,21.5,21.5,0.0,0.0,0.5,0.5,0.05,0.05,0.5,0.5,0.0125,0.0125,True,False,1,1,-10.5,-21.0,-10.5,-21.0,-3.5,-3.5,-14.0,-14.0,-14.0,-14.0
2020-11-13,Brazil,Venezuela,3.0,28.0,1,0,0,-25.0,0.0,3.0,4.5,4.5,1.0,1.0,48.5,48.5,0.0,0.0,0.0,0.0,2.0,2.0,25.0,25.0,0.0,0.0,3.0,3.0,0.08818181818181818,0.08818181818181818,0.0,0.0,0.0,0.0,True,False,1,1,-112.5,-50.0,-112.5,-50.0,-75.0,-0.0,-0.0,-25.0,-0.0,-25.0
2020-11-17,Ecuador,Colombia,60.0,10.0,6,1,0,50.0,-4.0,0.0,2.3333333333333335,2.3333333333333335,1.6666666666666667,1.6666666666666667,31.333333333333332,31.333333333333332,12.0,12.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,16.333333333333332,16.333333333333332,9.0,9.0,2.0,2.0,0.17932489451476794,0.17932489451476794,1.3333333333333333,1.3333333333333333,0.0596078431372549,0.0596078431372549,True,False,2,2,116.66666666666667,83.33333333333334,116.66666666666667,83.33333333333334,100.0,66.66666666666666,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334
2020-11-17,Venezuela,Chile,28.0,17.0,2,1,0,11.0,3.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,17.666666666666668,17.666666666666668,-24.0,-24.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333,13.333333333333334,13.333333333333334,-9.0,-9.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,0.075,0.075,True,False,2,2,0.0,14.666666666666666,0.0,14.666666666666666,0.0,14.666666666666666,18.333333333333336,18.333333333333336,18.333333333333336,18.333333333333336
2020-11-17,Peru,Argentina,24.0,8.0,0,2,1,16.0,2.0,-1.0,1.3333333333333333,1.3333333333333333,2.6666666666666665,2.6666666666666665,20.0,20.0,-11.0,-11.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,58.0,58.0,13.0,13.0,0.3333333333333333,0.3333333333333333,0.008333333333333333,0.008333333333333333,2.3333333333333335,2.3333333333333335,0.03848214285714286,0.03848214285714286,True,False,2,2,21.333333333333332,10.666666666666666,21.333333333333332,10.666666666666666,5.333333333333333,37.333333333333336,21.333333333333332,42.666666666666664,21.333333333333332,42.666666666666664
2020-11-17,Paraguay,Bolivia,35.0,79.0,2,2,2,-44.0,-5.0,4.0,1.3333333333333333,1.3333333333333333,1.0,1.0,18.333333333333332,18.333333333333332,15.0,15.0,1.0,1.0,3.3333333333333335,3.3333333333333335,24.0,24.0,-10.0,-10.0,1.6666666666666667,1.6666666666666667,0.09681818181818182,0.09681818181818182,0.0,0.0,0.0,0.0,True,False,2,2,-58.666666666666664,-146.66666666666669,-58.666666666666664,-146.66666666666669,-73.33333333333334,-0.0,-44.0,-44.0,-44.0,-44.0
2020-11-17,Uruguay,Brazil,7.0,3.0,0,2,1,4.0,1.0,0.0,2.3333333333333335,2.3333333333333335,1.6666666666666667,1.6666666666666667,30.333333333333332,30.333333333333332,-8.0,-8.0,3.3333333333333335,3.3333333333333335,0.6666666666666666,0.6666666666666666,41.666666666666664,41.666666666666664,13.0,13.0,2.0,2.0,0.1588235294117647,0.1588235294117647,3.0,3.0,0.09450216450216449,0.09450216450216449,True,False,2,2,9.333333333333334,2.6666666666666665,9.333333333333334,2.6666666666666665,8.0,12.0,13.333333333333334,6.666666666666667,13.333333333333334,6.666666666666667
2021-03-26,Chile,Bolivia,17.0,79.0,2,1,0,-62.0,0.0,0.0,1.5,1.5,1.5,1.5,17.0,17.0,-9.0,-9.0,1.25,1.25,3.0,3.0,26.75,26.75,-10.0,-10.0,1.0,1.0,0.05625,0.05625,0.25,0.25,0.007142857142857143,0.007142857142857143,False,True,3,3,-93.0,-186.0,-93.0,-186.0,-62.0,-15.5,-77.5,-93.0,-77.5,-93.0
2021-03-29,Ecuador,Bolivia,57.0,79.0,2,1,0,-22.0,1.0,0.0,3.25,3.25,1.5,1.5,26.0,26.0,12.0,12.0,1.2,1.2,2.8,2.8,24.8,24.8,-17.0,-17.0,2.25,2.25,0.20949367088607596,0.20949367088607596,0.2,0.2,0.005714285714285714,0.005714285714285714,False,True,4,3,-71.5,-61.599999999999994,-71.5,-61.599999999999994,-49.5,-4.4,-26.4,-33.0,-26.4,-33.0
2021-06-03,Mexico,Costa Rica,11.0,50.0,0,0,2,-39.0,0.0,0.0,1.0,1.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,57.0,57.0,-12.0,-12.0,3.0,3.0,0.06,0.06,0.0,0.0,0.0,0.0,True,False,1,0,-39.0,-39.0,-39.0,-39.0,-117.0,-0.0,-0.0,-0.0,-0.0,-0.0
2021-06-03,Bolivia,Venezuela,81.0,30.0,3,1,0,51.0,0.0,0.0,1.1666666666666667,1.4,2.6666666666666665,2.2,30.166666666666668,35.6,-17.0,-17.0,0.5,0.5,1.5,1.5,17.5,17.5,-24.0,-24.0,0.16666666666666666,0.2,0.0047619047619047615,0.005714285714285714,0.75,0.75,0.04411764705882353,0.04411764705882353,True,False,3,5,59.50000000000001,76.5,71.39999999999999,76.5,8.5,38.25,25.5,136.0,25.5,112.2
2021-06-03,Uruguay,Paraguay,9.0,35.0,0,0,2,-26.0,0.0,0.0,1.75,1.75,1.75,1.75,23.5,23.5,-8.0,-8.0,1.5,1.5,1.25,1.25,33.5,33.5,15.0,15.0,1.5,1.5,0.11911764705882352,0.11911764705882352,1.5,1.5,0.07577819332566169,0.07577819332566169,True,False,3,3,-45.5,-32.5,-45.5,-32.5,-39.0,-39.0,-39.0,-45.5,-39.0,-45.5
2021-06-03,Argentina,Chile,8.0,19.0,1,1,2,-11.0,0.0,0.0,1.5,1.5,0.5,0.5,49.5,49.5,13.0,13.0,1.6,1.6,1.4,1.4,29.4,29.4,-12.0,-12.0,2.5,2.5,0.06011160714285715,0.06011160714285715,1.4,1.4,0.052594936708860764,0.052594936708860764,True,False,4,3,-16.5,-15.399999999999999,-16.5,-15.399999999999999,-27.5,-15.399999999999999,-17.6,-5.5,-17.6,-5.5
2021-06-03,Peru,Colombia,27.0,15.0,0,3,1,12.0,0.0,0.0,1.0,1.0,2.5,2.5,17.0,17.0,-11.0,-11.0,1.5,1.5,2.75,2.75,27.25,27.25,9.0,9.0,0.25,0.25,0.00625,0.00625,1.0,1.0,0.04470588235294118,0.04470588235294118,True,False,3,3,12.0,33.0,12.0,33.0,3.0,12.0,18.0,30.0,18.0,30.0
2021-06-04,Brazil,Ecuador,3.0,53.0,2,0,0,-50.0,0.0,0.0,3.0,3.0,0.5,0.5,33.0,33.0,13.0,13.0,3.0,3.0,1.4,1.4,36.6,36.6,41.0,41.0,3.0,3.0,0.17801948051948052,0.17801948051948052,2.4,2.4,0.17518987341772152,0.17518987341772152,True,False,4,3,-150.0,-70.0,-150.0,-70.0,-150.0,-120.0,-150.0,-25.0,-150.0,-25.0
