date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,total_points_home,previous_points_home,rank_home,rank_change_home,total_points_away,previous_points_away,rank_away,rank_change_away
2018-03-27,United States,Paraguay,1,0,Friendly,Cary,United States,False,876.0,871.0,25.0,1.0,816.0,812.0,30.0,0.0
2018-05-28,United States,Bolivia,3,0,Friendly,Chester,United States,False,880.0,880.0,24.0,0.0,548.0,548.0,57.0,0.0
2018-06-22,Brazil,Costa Rica,2,0,FIFA World Cup,Saint Petersburg,Russia,True,1431.0,1384.0,2.0,0.0,884.0,858.0,23.0,-2.0
2018-07-02,Brazil,Mexico,2,0,FIFA World Cup,Samara,Russia,True,2160.0,2151.0,4.0,1.0,2041.0,1996.0,10.0,-5.0
2018-09-07,Ecuador,Jamaica,2,0,Friendly,Harrison,United States,True,1376.0,1376.0,60.0,0.0,1400.0,1400.0,54.0,0.0
2018-09-07,Mexico,Uruguay,1,4,Friendly,Houston,United States,True,1560.0,1548.0,16.0,1.0,1627.0,1552.0,5.0,-9.0
2018-09-07,United States,Brazil,0,2,Friendly,East Rutherford,United States,False,1508.0,1508.0,22.0,-3.0,1657.0,1596.0,3.0,1.0
2018-09-07,Venezuela,Colombia,1,2,Friendly,Miami Gardens,United States,True,1476.0,1476.0,31.0,-2.0,1563.0,1544.0,14.0,-2.0
2018-09-11,Colombia,Argentina,0,0,Friendly,East Rutherford,United States,True,1563.0,1544.0,14.0,-2.0,1574.0,1584.0,11.0,6.0
2018-09-11,Panama,Venezuela,0,2,Friendly,Panama City,Panama,False,1343.0,1396.0,69.0,14.0,1476.0,1476.0,31.0,-2.0
2018-09-11,United States,Mexico,1,0,Friendly,Nashville,United States,False,1508.0,1508.0,22.0,-3.0,1560.0,1548.0,16.0,1.0
2018-10-11,Mexico,Costa Rica,3,2,Friendly,San Nicolás de los Garza,Mexico,False,1550.0,1560.0,15.0,-1.0,1460.0,1471.0,37.0,5.0
2018-10-11,United States,Colombia,2,4,Friendly,Tampa,United States,False,1510.0,1508.0,22.0,0.0,1567.0,1563.0,14.0,0.0
2018-10-12,Peru,Chile,3,0,Friendly,Miami Gardens,United States,True,1525.0,1535.0,21.0,1.0,1568.0,1570.0,12.0,0.0
